,testName,count
0,100:HammingIndep,11
1,101:Run,9
2,102:Run,10
3,103:AutoCor,11
4,104:AutoCor,10
5,105:AutoCor,7
6,106:AutoCor,8
7,10:CollisionOver,24
8,11:CollisionOver,62
9,12:CollisionOver,52
10,13:BirthdaySpacings,5
11,14:BirthdaySpacings,8
12,15:BirthdaySpacings,5
13,16:BirthdaySpacings,7
14,17:BirthdaySpacings,8
15,18:BirthdaySpacings,5
16,19:BirthdaySpacings,6
17,1:SerialOver,8
18,20:BirthdaySpacings,5
19,21:BirthdaySpacings,10
20,22:ClosePairs,42
21,23:ClosePairs,37
22,24:ClosePairs,48
23,25:ClosePairs,42
24,26:SimpPoker,9
25,27:SimpPoker,6
26,28:SimpPoker,8
27,29:SimpPoker,7
28,2:SerialOver,8
29,30:CouponCollector,8
30,31:CouponCollector,7
31,32:CouponCollector,7
32,33:CouponCollector,4
33,34:Gap,9
34,35:Gap,8
35,36:Gap,10
36,37:Gap,5
37,38:Run,13
38,39:Run,9
39,3:CollisionOver,2
40,40:Permutation,5
41,41:Permutation,12
42,42:Permutation,10
43,43:Permutation,5
44,44:CollisionPermut,3
45,45:CollisionPermut,5
46,46:MaxOft,19
47,47:MaxOft,12
48,48:MaxOft,20
49,49:MaxOft,14
50,4:CollisionOver,9
51,50:SampleProd,5
52,51:SampleProd,9
53,52:SampleProd,7
54,53:SampleMean,10
55,54:SampleMean,6
56,55:SampleCorr,11
57,56:SampleCorr,14
58,57:AppearanceSpacings,8
59,58:AppearanceSpacings,4
60,59:WeightDistrib,10
61,5:CollisionOver,3
62,60:WeightDistrib,11
63,61:WeightDistrib,12
64,62:WeightDistrib,10
65,63:WeightDistrib,11
66,64:WeightDistrib,5
67,65:SumCollector,6
68,66:MatrixRank,9
69,67:MatrixRank,10
70,68:MatrixRank,10
71,69:MatrixRank,6
72,6:CollisionOver,2
73,70:MatrixRank,7
74,71:MatrixRank,5
75,72:Savir2,10
76,73:GCD,8
77,74:RandomWalk1,59
78,75:RandomWalk1,38
79,76:RandomWalk1,46
80,77:RandomWalk1,36
81,78:RandomWalk1,38
82,79:RandomWalk1,41
83,7:CollisionOver,6
84,80:LinearComp,1128
85,81:LinearComp,1128
86,82:LempelZiv,12
87,83:LempelZiv,6
88,84:Fourier3,1
89,85:Fourier3,4
90,86:LongestHeadRun,14
91,87:LongestHeadRun,7
92,88:PeriodsInStrings,9
93,89:PeriodsInStrings,4
94,8:CollisionOver,9
95,90:HammingWeight2,6
96,91:HammingWeight2,5
97,92:HammingCorr,8
98,93:HammingCorr,13
99,94:HammingCorr,9
100,95:HammingIndep,11
101,96:HammingIndep,15
102,97:HammingIndep,9
103,98:HammingIndep,7
104,99:HammingIndep,7
105,9:CollisionOver,21
